home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
Bourg-en-Bresse Péronnas 01,CS Sedan-Ardennes,0,france national,2021-10-11 18:45:00,False,2021-2022,6.58,0.14758460571164597,0.9711067055826305
Bourg-en-Bresse Péronnas 01,CS Sedan-Ardennes,1,france national,2021-10-11 18:45:00,True,2021-2022,3.56,0.25593548310037356,0.91113031983733
Virtus Entella,Delfino Pescara 1936,3,italy serie-c,2021-10-11 19:00:00,False,2021-2022,2.77,0.3463086879188837,0.9592750655353078
Virtus Entella,Delfino Pescara 1936,0,italy serie-c,2021-10-11 19:00:00,False,2021-2022,2.53,0.3455415696497785,0.8742201712139396
Virtus Entella,Delfino Pescara 1936,1,italy serie-c,2021-10-11 19:00:00,True,2021-2022,3.07,0.3081497424313377,0.9460197092642066
Real Zaragoza,SD Huesca,3,spain laliga2,2021-10-11 19:00:00,False,2021-2022,2.05,0.4866407964361088,0.9976136326940229
Real Zaragoza,SD Huesca,0,spain laliga2,2021-10-11 19:00:00,False,2021-2022,4.08,0.22044354720827442,0.8994096726097597
Real Zaragoza,SD Huesca,1,spain laliga2,2021-10-11 19:00:00,True,2021-2022,3.15,0.2929156563556168,0.9226843175201929
Plymouth Argyle,Swindon Town,3,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,1.67,0.5806892805974037,0.9697510985976641
Plymouth Argyle,Swindon Town,0,england efl-trophy,2021-10-12 18:00:00,True,2021-2022,4.53,0.17282976560044894,0.7829188381700337
Plymouth Argyle,Swindon Town,1,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,3.98,0.24648095380214738,0.9809941961325466
Forest Green Rovers,Brighton U21,3,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,2.22,0.4728711246983813,1.0497738968304064
Forest Green Rovers,Brighton U21,0,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,2.95,0.26548590657311005,0.7831834243906747
Forest Green Rovers,Brighton U21,1,england efl-trophy,2021-10-12 18:00:00,True,2021-2022,3.55,0.2616429687285087,0.9288325389862058
Newport County,Arsenal U21,3,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,2.17,0.4979311450858386,1.0805105848362697
Newport County,Arsenal U21,0,england efl-trophy,2021-10-12 18:00:00,True,2021-2022,3.13,0.24116040814312853,0.7548320774879923
Newport County,Arsenal U21,1,england efl-trophy,2021-10-12 18:00:00,False,2021-2022,3.43,0.260908446771033,0.8949159724246432
Boston United,AFC Telford United,3,england national-league-n/s,2021-10-12 18:45:00,True,2021-2022,1.46,0.6163404519214409,0.8998570598053037
Boston United,AFC Telford United,0,england national-league-n/s,2021-10-12 18:45:00,False,2021-2022,6.39,0.1648466344841348,1.0533699943536214
Boston United,AFC Telford United,1,england national-league-n/s,2021-10-12 18:45:00,False,2021-2022,4.28,0.21881291359442434,0.9365192701841363
Portsmouth FC,Sutton United,3,england efl-trophy,2021-10-12 18:45:00,False,2021-2022,1.93,0.5044482987105575,0.973585216511376
Portsmouth FC,Sutton United,0,england efl-trophy,2021-10-12 18:45:00,True,2021-2022,3.63,0.22068542294988064,0.8010880853080667
Portsmouth FC,Sutton United,1,england efl-trophy,2021-10-12 18:45:00,False,2021-2022,3.61,0.27486627833956184,0.9922672648058182
Yeovil Town,Altrincham FC,3,england national-league,2021-10-12 18:45:00,False,2021-2022,2.22,0.4023609719477199,0.8932413577239383
Yeovil Town,Altrincham FC,0,england national-league,2021-10-12 18:45:00,False,2021-2022,3.08,0.2922356741696177,0.9000858764424225
Yeovil Town,Altrincham FC,1,england national-league,2021-10-12 18:45:00,True,2021-2022,3.55,0.30540335388266243,1.0841819062834517
